date,avg_temp,total_rainfall,ano
2012-01-08,29.215,0.17,2012
2012-01-15,28.97,0.15000000000000002,2012
2012-01-22,28.271428571428572,4.470000000000001,2012
2012-01-29,28.71,0.02,2012
2012-02-05,28.127142857142854,3.92,2012
2012-02-12,27.12,23.95,2012
2012-02-19,26.04,20.38,2012
2012-02-26,26.965714285714284,0.7000000000000001,2012
2012-03-04,28.577142857142857,0.19,2012
2012-03-11,28.435714285714287,0.9099999999999999,2012
2012-03-18,29.48857142857143,1.6600000000000001,2012
2012-03-25,29.08142857142857,8.0,2012
2012-04-01,28.92571428571429,2.1299999999999994,2012
2012-04-08,28.59,0.01,2012
2012-04-15,28.16,0.04,2012
2012-04-22,29.181428571428572,0.06999999999999999,2012
2012-04-29,28.268571428571427,0.0,2012
2012-05-06,27.51142857142857,0.0,2012
2012-05-13,27.292857142857144,0.11,2012
2012-05-20,27.62,0.78,2012
2012-05-27,26.478571428571428,2.31,2012
2012-06-03,26.825714285714287,0.2,2012
2012-06-10,26.01142857142857,0.04,2012
2012-06-17,25.42571428571429,2.0,2012
2012-06-24,26.58857142857143,1.26,2012
2012-07-01,23.849999999999998,1.99,2012
2012-07-08,23.527142857142856,1.41,2012
2012-07-15,25.412857142857145,0.5,2012
2012-07-22,24.367142857142856,1.5,2012
2012-07-29,23.904285714285713,0.24000000000000002,2012
2012-08-05,23.104285714285712,1.51,2012
2012-08-12,24.00714285714286,0.36,2012
2012-08-19,23.52,2.67,2012
2012-08-26,23.065714285714286,4.16,2012
2012-09-02,25.44857142857143,0.02,2012
2012-09-09,24.674285714285713,0.29,2012
2012-09-16,26.45,0.0,2012
2012-09-23,27.36285714285714,0.0,2012
2012-09-30,26.444285714285716,1.29,2012
2012-10-07,26.494285714285716,0.02,2012
2012-10-14,27.565714285714286,0.09,2012
2012-10-21,28.268571428571427,0.0,2012
2012-10-28,28.321428571428573,0.02,2012
2012-11-04,29.38714285714286,5.61,2012
2012-11-11,27.27,11.86,2012
2012-11-18,29.78142857142857,1.02,2012
2012-11-25,29.99142857142857,3.1900000000000004,2012
2012-12-02,29.681428571428572,3.12,2012
2012-12-09,29.327142857142857,2.49,2012
2012-12-16,29.24142857142857,3.82,2012
2012-12-23,29.91857142857143,0.41000000000000003,2012
2012-12-30,29.532857142857143,0.03,2012
2013-01-06,28.59857142857143,6.029999999999999,2013
2013-01-13,29.575714285714287,1.06,2013
2013-01-20,27.298571428571428,24.95,2013
2013-01-27,26.797142857142855,26.79,2013
2013-02-03,28.305714285714288,0.55,2013
2013-02-10,29.22714285714286,0.07,2013
2013-02-17,29.3,0.0,2013
2013-02-24,29.017142857142858,0.02,2013
2013-03-03,30.35,0.02,2013
2013-03-10,29.915714285714284,0.02,2013
2013-03-17,30.80857142857143,0.03,2013
2013-03-24,29.155714285714286,19.12,2013
2013-03-31,29.50714285714286,2.72,2013
2013-04-07,29.639999999999997,7.4399999999999995,2013
2013-04-14,30.18,0.48000000000000004,2013
2013-04-21,26.804285714285715,36.08,2013
2013-04-28,25.35571428571429,5.37,2013
2013-05-05,26.062857142857144,4.05,2013
2013-05-12,26.90142857142857,3.26,2013
2013-05-19,25.78,2.9499999999999997,2013
2013-05-26,27.18857142857143,0.78,2013
2013-06-02,26.755714285714284,1.1099999999999999,2013
2013-06-09,26.06714285714286,1.52,2013
2013-06-16,25.662857142857142,2.37,2013
2013-06-23,26.02857142857143,0.74,2013
2013-06-30,25.24285714285714,0.1,2013
2013-07-07,24.84857142857143,1.75,2013
2013-07-14,23.995714285714286,5.680000000000001,2013
2013-07-21,24.502857142857145,4.75,2013
2013-07-28,25.117142857142856,2.9000000000000004,2013
2013-08-04,23.509999999999998,3.0700000000000003,2013
2013-08-11,24.365714285714287,2.43,2013
2013-08-18,25.324285714285715,0.67,2013
2013-08-25,25.148571428571426,1.4000000000000001,2013
2013-09-01,25.981428571428573,2.5599999999999996,2013
2013-09-08,26.131428571428575,1.55,2013
2013-09-15,25.118571428571432,0.91,2013
2013-09-22,27.25857142857143,0.14,2013
2013-09-29,28.43285714285714,0.01,2013
2013-10-06,28.431428571428572,0.02,2013
2013-10-13,26.842857142857145,3.02,2013
2013-10-20,27.77857142857143,4.78,2013
2013-10-27,27.58857142857143,0.02,2013
2013-11-03,28.96857142857143,3.71,2013
2013-11-10,28.464285714285715,4.029999999999999,2013
2013-11-17,28.604285714285712,0.39,2013
2013-11-24,27.467142857142857,6.69,2013
2013-12-01,26.687142857142856,38.49,2013
2013-12-08,28.87857142857143,15.05,2013
2013-12-15,27.830000000000002,31.33,2013
2013-12-22,24.292857142857144,90.88,2013
2013-12-29,25.37142857142857,1.44,2013
2014-01-05,25.77,0.03,2014
2014-01-12,25.961428571428574,10.91,2014
2014-01-19,26.78,5.13,2014
2014-01-26,27.75142857142857,0.08,2014
2014-02-02,28.147142857142857,1.1600000000000001,2014
2014-02-09,27.978571428571428,2.13,2014
2014-02-16,28.15142857142857,14.149999999999999,2014
2014-02-23,26.697142857142858,22.92,2014
2014-03-02,27.065714285714286,24.639999999999997,2014
2014-03-09,26.165714285714284,19.77,2014
2014-03-16,27.40142857142857,0.9299999999999999,2014
2014-03-23,28.702857142857145,0.42000000000000004,2014
2014-03-30,29.377142857142854,4.140000000000001,2014
2014-04-06,29.504285714285714,9.58,2014
2014-04-13,25.244285714285716,92.07,2014
2014-04-20,26.287142857142857,0.47,2014
2014-04-27,26.277142857142856,17.47,2014
2014-05-04,24.851428571428574,3.59,2014
2014-05-11,25.54714285714286,1.3599999999999999,2014
2014-05-18,25.794285714285714,3.63,2014
2014-05-25,26.75857142857143,0.37,2014
2014-06-01,25.87,3.69,2014
2014-06-08,26.164285714285715,0.5599999999999999,2014
2014-06-15,24.958571428571428,0.53,2014
2014-06-22,24.858571428571427,1.03,2014
2014-06-29,24.965714285714284,1.42,2014
2014-07-06,24.824285714285715,0.3,2014
2014-07-13,24.782857142857146,0.62,2014
2014-07-20,24.594285714285714,1.36,2014
2014-07-27,24.825714285714287,8.38,2014
2014-08-03,24.052857142857142,7.460000000000001,2014
2014-08-10,24.43857142857143,0.21000000000000002,2014
2014-08-17,24.18142857142857,2.9299999999999997,2014
2014-08-24,24.13714285714286,0.49,2014
2014-08-31,26.268571428571427,0.0,2014
2014-09-07,26.784285714285716,0.26,2014
2014-09-14,25.38714285714286,4.27,2014
2014-09-21,26.928571428571427,0.14,2014
2014-09-28,27.924285714285713,0.0,2014
2014-10-05,27.400000000000002,0.75,2014
2014-10-12,26.15142857142857,0.53,2014
2014-10-19,27.96,0.05,2014
2014-10-26,28.657142857142855,0.03,2014
2014-11-02,28.905714285714286,0.05,2014
2014-11-09,29.139999999999997,0.66,2014
2014-11-16,29.505714285714284,12.629999999999999,2014
2014-11-23,26.055714285714284,44.9,2014
2014-11-30,27.464285714285715,0.01,2014
2014-12-07,27.23428571428571,4.71,2014
2014-12-14,27.745714285714286,2.3899999999999997,2014
2014-12-21,26.415714285714284,39.71,2014
2014-12-28,26.88,0.12,2014
2015-01-11,28.698571428571427,0.32,2015
2015-01-18,28.784285714285716,0.09000000000000001,2015
2015-01-25,29.134285714285713,0.0,2015
2015-02-01,28.36285714285714,5.51,2015
2015-02-08,28.971428571428568,0.06999999999999999,2015
2015-02-15,27.89428571428571,9.44,2015
2015-02-22,28.759999999999998,1.71,2015
2015-03-01,27.01142857142857,24.65,2015
2015-03-08,26.481428571428573,18.83,2015
2015-03-15,27.231428571428573,2.6999999999999997,2015
2015-03-22,29.177142857142858,1.43,2015
2015-03-29,27.93285714285714,21.990000000000002,2015
2015-04-05,27.405714285714286,4.37,2015
